"GO","GO_definition","GO_ontology","GO_term"
"GO:0005496","Interacting selectively and non-covalently with a steroid, any of a large group of substances that have in common a ring system based on 1,2-cyclopentanoperhydrophenanthrene.","MF","steroid binding"
"GO:0043401","A series of molecular signals mediated by a steroid hormone binding to a receptor.","BP","steroid hormone mediated signaling pathway"
"GO:0003827","Catalysis of the reaction: 3-(alpha-D-mannosyl)-beta-D-mannosyl-R + UDP-N-acetyl-alpha-D-glucosamine = 3-(2-[N-acetyl-beta-D-glucosaminyl]-alpha-D-mannosyl)-beta-D-mannosyl-R + H(+) + UDP.","MF","alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity"
"GO:0016262","Catalysis of the reaction: UDP-N-acetyl-D-glucosamine + protein = UDP + 4-N-(N-acetyl-D-glucosaminyl)-protein.","MF","protein N-acetylglucosaminyltransferase activity"
"GO:0009791","The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development.","BP","post-embryonic development"
"GO:0014866","The process whose specific outcome is the progression of the skeletal myofibril over time, from its formation to the mature structure. A skeletal myofibril is a myofibril specific to skeletal muscle cells.","BP","skeletal myofibril assembly"
"GO:0031432","Interacting selectively and non-covalently with titin, any of a family of giant proteins found in striated and smooth muscle. In striated muscle, single titin molecules span half the sarcomere, with their N- and C-termini in the Z-disc and M-line, respectively.","MF","titin binding"
"GO:0031674","A region of a sarcomere that appears as a light band on each side of the Z disc, comprising a region of the sarcomere where thin (actin) filaments are not overlapped by thick (myosin) filaments; contains actin, troponin, and tropomyosin; each sarcomere includes half of an I band at each end.","CC","I band"
"GO:0061629","Interacting selectively and non-covalently with a sequence-specific DNA binding RNA polymerase II transcription factor, any of the factors that interact selectively and non-covalently with a specific DNA sequence in order to modulate transcription.","MF","RNA polymerase II-specific DNA-binding transcription factor binding"
"GO:0071363","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a growth factor stimulus.","BP","cellular response to growth factor stimulus"
"GO:2000288",NA,"BP","positive regulation of myoblast proliferation"
"GO:0009918","Catalysis of the reaction: 5-dehydroepisterol = 24-methylenecholesterol.","MF","sterol delta7 reductase activity"
"GO:0018802","Catalysis of the reaction: 2,4-dihydroxy-hept-trans-2-ene-1,7-dioate = pyruvate + succinic semialdehyde.","MF","2,4-dihydroxyhept-2-ene-1,7-dioate aldolase activity"
"GO:0051119","Enables the transfer of a sugar from one side of a membrane to the other. A sugar is any member of a class of sweet, water-soluble, crystallizable carbohydrates, which are the monosaccharides and smaller oligosaccharides.","MF","sugar transmembrane transporter activity"
"GO:0006525","The chemical reactions and pathways involving arginine, 2-amino-5-(carbamimidamido)pentanoic acid.","BP","arginine metabolic process"
"GO:0019545","The chemical reactions and pathways resulting in the breakdown of arginine into other compounds, including succinate.","BP","arginine catabolic process to succinate"
"GO:0043824","Catalysis of the reaction: N-succinyl-L-glutamate 5-semialdehyde + H(2)O + NAD(+) = N-succinyl-L-glutamate + 2 H(+) + NADH.","MF","succinylglutamate-semialdehyde dehydrogenase activity"
"GO:0030660","The lipid bilayer surrounding a vesicle associated with the Golgi apparatus.","CC","Golgi-associated vesicle membrane"
"GO:0071458","The component of the endoplasmic reticulum membrane consisting of the gene products that penetrate only the cytoplasmic side of the membrane.","CC","integral component of cytoplasmic side of endoplasmic reticulum membrane"
"GO:0071556","The component of the endoplasmic reticulum membrane consisting of the gene products that penetrate only the lumenal side of the membrane.","CC","integral component of lumenal side of endoplasmic reticulum membrane"
"GO:0004697","Catalysis of the reaction: ATP + a protein = ADP + a phosphoprotein. This reaction requires diacylglycerol.","MF","protein kinase C activity"
"GO:0042308","Any process that stops, prevents, or reduces the frequency, rate or extent of the movement of proteins from the cytoplasm into the nucleus.","BP","negative regulation of protein import into nucleus"
"GO:0089700","A series of reactions, mediated by the intracellular serine/threonine kinase protein kinase D, which occurs as a result of a single trigger reaction or compound.","BP","protein kinase D signaling"
"GO:1902554",NA,"CC","serine/threonine protein kinase complex"
"GO:0004588","Catalysis of the reaction: orotidine 5'-phosphate + diphosphate = orotate + 5-phospho-alpha-D-ribose 1-diphosphate.","MF","orotate phosphoribosyltransferase activity"
"GO:0009341","A protein complex that possesses beta-galactosidase activity, i.e. catalyzes the hydrolysis of terminal non-reducing beta-D-galactose residues in beta-D-galactosides. In E. coli, the complex is a homotetramer; dimeric and hexameric beta-galactosidase complexes have been observed in other species.","CC","beta-galactosidase complex"
"GO:0004792","Catalysis of the reaction: hydrogen cyanide + thiosulfate = H(+) + sulfite + thiocyanate.","MF","thiosulfate sulfurtransferase activity"
"GO:0017091","Interacting selectively and non-covalently with a region of RNA containing frequent adenine and uridine bases.","MF","AU-rich element binding"
"GO:0035925","Interacting selectively and non-covalently with a region containing frequent adenine and uridine bases within the 3' untranslated region of a mRNA molecule.","MF","mRNA 3'-UTR AU-rich region binding"
"GO:0048255","Prevention of degradation of mRNA molecules. In the absence of compensating changes in other processes, the slowing of mRNA degradation can result in an overall increase in the population of active mRNA molecules.","BP","mRNA stabilization"
"GO:0060965","Any process that decreases the rate, frequency, or extent of gene silencing by miRNA.","BP","negative regulation of gene silencing by miRNA"
"GO:2000036",NA,"BP","regulation of stem cell population maintenance"
"GO:0050321","Catalysis of the reaction: ATP + tau-protein = ADP + O-phospho-tau-protein.","MF","tau-protein kinase activity"
"GO:0043715","Catalysis of the reaction: 2,3-diketo-5-methylthiopentyl-1-phosphate = H+ + 2-hydroxy 3-keto-5-methylthiopentenyl-1-phosphate. 2,3-diketo-5-methylthiopentyl-1-phosphate is also known as DK-MTP-1-P, and 2-hydroxy 3-keto-5-methylthiopentenyl-1-phosphate as HK-MTPenyl-1-P.","MF","2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity"
"GO:0019915","The accumulation and maintenance in cells or tissues of lipids, compounds soluble in organic solvents but insoluble or sparingly soluble in aqueous solvents. Lipid reserves can be accumulated during early developmental stages for mobilization and utilization at later stages of development.","BP","lipid storage"
"GO:0009867","A series of molecular signals mediated by jasmonic acid.","BP","jasmonic acid mediated signaling pathway"
"GO:0006109","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving carbohydrates.","BP","regulation of carbohydrate metabolic process"
"GO:0010277","Catalysis of the reactions: chlorophyllide a + O2 + NADPH + H+ = 7-hydroxychlorophyllide a + H2O + NADP+; and 7-hydroxychlorophyllide a + O2 + NADPH + H+ = chlorophyllide b + 2 H2O + NADP+.","MF","chlorophyllide a oxygenase [overall] activity"
"GO:0102294","Catalysis of the reaction: cholesterol + NAD = cholest-5-en-3-one + NADH + H+.","MF","cholesterol dehydrogenase activity"
"GO:0006672","The chemical reactions and pathways involving ceramides, any N-acylated sphingoid.","BP","ceramide metabolic process"
"GO:0033002","The expansion of a muscle cell population by cell division.","BP","muscle cell proliferation"
"GO:1902723",NA,"BP","negative regulation of skeletal muscle satellite cell proliferation"
"GO:1902725",NA,"BP","negative regulation of satellite cell differentiation"
"GO:2000818",NA,"BP","negative regulation of myoblast proliferation"
"GO:0004561","Catalysis of the hydrolysis of terminal non-reducing N-acetyl-D-glucosamine residues in N-acetyl-alpha-D-glucosaminides.","MF","alpha-N-acetylglucosaminidase activity"
"GO:0007548","The establishment of the sex of an organism by physical differentiation.","BP","sex differentiation"
"GO:0007628","The behavior of an adult relating to the progression of that organism along the ground by the process of lifting and setting down each leg.","BP","adult walking behavior"
"GO:0019226","The neurological system process in which a signal is transmitted through the nervous system by a combination of action potential propagation and synaptic transmission.","BP","transmission of nerve impulse"
"GO:0021521","The process in which a cell becomes capable of differentiating autonomously into a ventral spinal cord interneuron in an environment that is neutral with respect to the developmental pathway.","BP","ventral spinal cord interneuron specification"
"GO:0042487","Any process that modulates the frequency, rate or extent of the formation and development of teeth, the hard, bony appendages which are borne on the jaws, or on other bones in the walls of the mouth or pharynx of most vertebrates.","BP","regulation of odontogenesis of dentin-containing tooth"
"GO:0046661","The establishment of the sex of a male organism by physical differentiation.","BP","male sex differentiation"
"GO:0030532","A complex composed of RNA of the small nuclear RNA (snRNA) class and protein, found in the nucleus of a eukaryotic cell. These are typically named after the snRNA(s) they contain, e.g. U1 snRNP or U4/U6 snRNP. Many, but not all, of these complexes are involved in splicing of nuclear mRNAs.","CC","small nuclear ribonucleoprotein complex"
"GO:0004163","Catalysis of the reaction: (R)-5-diphosphomevalonate + ATP = ADP + CO(2) + H(+) + isopentenyl diphosphate + phosphate.","MF","diphosphomevalonate decarboxylase activity"
"GO:0006497","The covalent attachment of lipid groups to an amino acid in a protein.","BP","protein lipidation"
"GO:0034045","A cellular membrane associated with the phagophore assembly site.","CC","phagophore assembly site membrane"
"GO:0034497","Any process in which a protein is transported to, or maintained at, the phagophore assembly site (PAS).","BP","protein localization to phagophore assembly site"
"GO:0080025","Interacting selectively and non-covalently with phosphatidylinositol-3,5-bisphosphate, a derivative of phosphatidylinositol in which the inositol ring is phosphorylated at the 3' and 5' positions.","MF","phosphatidylinositol-3,5-bisphosphate binding"
"GO:0010329","Enables the transfer of auxin, from one side of a membrane to the other, out of a cell.","MF","auxin efflux transmembrane transporter activity"
"GO:0040009","Any process that modulates the rate of growth of all or part of an organism.","BP","regulation of growth rate"
"GO:0032955","Any process that modulates the frequency, rate or extent of division septum formation. Division septum formation is the assembly and arrangement of a septum that spans the plasma membrane interface between progeny cells following cytokinesis.","BP","regulation of division septum assembly"
"GO:0001714","The cell fate determination process that results in a cell becoming capable of differentiating autonomously into an endoderm cell in an environment that is neutral with respect to the developmental pathway; upon specification, the cell fate can be reversed.","BP","endodermal cell fate specification"
"GO:0001826","The process in which a relatively unspecialized cell acquires specialized features of an inner cell mass cell.","BP","inner cell mass cell differentiation"
"GO:0001889","The process whose specific outcome is the progression of the liver over time, from its formation to the mature structure. The liver is an exocrine gland which secretes bile and functions in metabolism of protein and carbohydrate and fat, synthesizes substances involved in the clotting of the blood, synthesizes vitamin A, detoxifies poisonous substances, stores glycogen, and breaks down worn-out erythrocytes.","BP","liver development"
"GO:0007492","The process whose specific outcome is the progression of the endoderm over time, from its formation to the mature structure. The endoderm is the innermost germ layer that develops into the gastrointestinal tract, the lungs and associated tissues.","BP","endoderm development"
"GO:0009952","The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism.","BP","anterior/posterior pattern specification"
"GO:0030073","The regulated release of proinsulin from secretory granules accompanied by cleavage of proinsulin to form mature insulin. In vertebrates, insulin is secreted from B granules in the B cells of the vertebrate pancreas and from insulin-producing cells in insects.","BP","insulin secretion"
"GO:0030111","Any process that modulates the frequency, rate or extent of the activity of the Wnt signal transduction pathway.","BP","regulation of Wnt signaling pathway"
"GO:0030902","The process whose specific outcome is the progression of the hindbrain over time, from its formation to the mature structure. The hindbrain is the posterior of the three primary divisions of the developing chordate brain, or the corresponding part of the adult brain (in vertebrates, includes the cerebellum, pons, and medulla oblongata and controls the autonomic functions and equilibrium).","BP","hindbrain development"
"GO:0031018","The process whose specific outcome is the progression of the endocrine pancreas over time, from its formation to the mature structure. The endocrine pancreas is made up of islet cells that produce insulin, glucagon and somatostatin.","BP","endocrine pancreas development"
"GO:0035565","Any process that modulates the size of a pronephric kidney.","BP","regulation of pronephros size"
"GO:0039020","The process whose specific outcome is the progression of a pronephric nephron tubule over time, from its formation to the mature structure. The pronephric nephron tubule is an epithelial tube that is part of the pronephric nephron and connects the filtration unit (glomerulus or glomus) of the pronephros to the pronephric duct.","BP","pronephric nephron tubule development"
"GO:0042663","Any process that mediates the specification of a cell into an endoderm cell.","BP","regulation of endodermal cell fate specification"
"GO:0048557","The process in which the anatomical structures of the digestive tract are generated and organized during embryonic development. The digestive tract is the anatomical structure through which food passes and is processed.","BP","embryonic digestive tract morphogenesis"
"GO:0048754","The process in which the anatomical structures of branches in an epithelial tube are generated and organized. A tube is a long hollow cylinder.","BP","branching morphogenesis of an epithelial tube"
"GO:0048793","The process whose specific outcome is the progression of the pronephros over time, from its formation to the mature structure. In mammals, the pronephros is the first of the three embryonic kidneys to be established and exists only transiently. In lower vertebrates such as fish and amphibia, the pronephros is the fully functional embryonic kidney and is indispensable for larval life.","BP","pronephros development"
"GO:0048806","The process whose specific outcome is the progression of the genitalia over time, from its formation to the mature structure.","BP","genitalia development"
"GO:0050673","The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances.","BP","epithelial cell proliferation"
"GO:0060429","The process whose specific outcome is the progression of an epithelium over time, from its formation to the mature structure. An epithelium is a tissue that covers the internal or external surfaces of an anatomical structure.","BP","epithelium development"
"GO:0060677","The developmental growth in which the ureteric bud grows along its axis beginning with the growth of the primary ureteric bud and ending when the branches of the bud have elongated.","BP","ureteric bud elongation"
"GO:0060993","Morphogenesis of a kidney. A kidney is an organ that filters the blood and excretes the end products of body metabolism in the form of urine.","BP","kidney morphogenesis"
"GO:0061017","The process in which a relatively unspecialized cell acquires specialized features of a hepatoblast. A hepatoblast is a cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into hepatocytes and cholangiocytes.","BP","hepatoblast differentiation"
"GO:0061296","Any process that reduces the occurrence or rate of mesenchymal stem cell death by apoptotic process that contributes to the shaping of the nephron in the mesonephros.","BP","negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis"
"GO:0072095","Any process that modulates the frequency, rate or extent of branch elongation involved in ureteric bud branching, the growth of a branch of the ureteric bud along its axis.","BP","regulation of branch elongation involved in ureteric bud branching"
"GO:0072164","The progression of a mesonephric tubule over time, from its initial formation to the mature structure. A mesonephric tubule is an epithelial tube that is part of the mesonephros.","BP","mesonephric tubule development"
"GO:0072176","The process whose specific outcome is the progression of a nephric duct over time, from its initial formation to a mature structure. A nephric duct is a tube that drains a primitive kidney.","BP","nephric duct development"
"GO:0072177","The process whose specific outcome is the progression of a mesonephric duct over time, from its initial formation to a mature structure. A mesonephric duct is a tube drains the mesonephros.","BP","mesonephric duct development"
"GO:0072179","The developmental process pertaining to the initial formation of a nephric duct. A nephric duct is a tube that drains a primitive kidney.","BP","nephric duct formation"
"GO:0072181","The developmental process pertaining to the initial formation of a mesonephric duct. A mesonephric duct is a tube that drains the mesonephros.","BP","mesonephric duct formation"
"GO:1900212",NA,"BP","negative regulation of mesenchymal cell apoptotic process involved in metanephros development"
"GO:0006337","The controlled breakdown of nucleosomes, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.","BP","nucleosome disassembly"
"GO:0016514","A SWI/SNF-type complex that contains 8 to 14 proteins, including both conserved (core) and nonconserved components; contains the ATPase product of the yeast SNF2 or mammalian SMARCA4/BAF190A/BRG1 gene, or an ortholog thereof.","CC","SWI/SNF complex"
"GO:0071564","A SWI/SNF-type complex that is found in neural stem or progenitor cells, and in human contains actin and proteins encoded by the ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, PHF10/BAF45A, ACTL6A/BAF53A genes. The npBAF complex is essential for the self-renewal/proliferative capacity of the multipotent neural stem cells.","CC","npBAF complex"
"GO:0071565","A SWI/SNF-type complex that is found in post-mitotic neurons, and in human contains actin and proteins encoded by the ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, DPF1/BAF45B, DPF3/BAF45C, ACTL6B/BAF53B genes. The nBAF complex along with CREST plays a role regulating the activity of genes essential for dendrite growth.","CC","nBAF complex"
"GO:0015439","Catalysis of the reaction: ATP + H2O + heme(in) = ADP + phosphate + heme(out).","MF","ATPase-coupled heme transmembrane transporter activity"
"GO:0009707","The outer, i.e. cytoplasm-facing, lipid bilayer of the chloroplast envelope.","CC","chloroplast outer membrane"
"GO:0000783","A complex of DNA and protein located at the end of a linear chromosome in the nucleus that protects and stabilizes a linear chromosome.","CC","nuclear telomere cap complex"
"GO:0003691","Interacting selectively and non-covalently with double-stranded telomere-associated DNA.","MF","double-stranded telomeric DNA binding"
"GO:0004015","Catalysis of the reaction: 8-amino-7-oxononanoate + S-adenosyl-L-methionine(1+) = 7,8-diaminononanoate + S-adenosyl-4-methylthio-2-oxobutanoate.","MF","adenosylmethionine-8-amino-7-oxononanoate transaminase activity"
"GO:0034256","Catalysis of the reaction: 71-hydroxychlorophyll(ide) a + NAD(P)+ = chlorophyll(ide) b + NAD(P)H + H+.","MF","chlorophyll(ide) b reductase activity"
"GO:0052855","Catalysis of the reaction: (6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide adenine dinucleotide + ADP = AMP + 3 H(+) + NADH + phosphate.","MF","ADP-dependent NAD(P)H-hydrate dehydratase activity"
"GO:0001162","Interacting selectively and non-covalently with an RNA polymerase II intronic DNA sequence that regulates the transcription of the transcript it is contained within.","MF","RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding"
"GO:0007623","Any biological process in an organism that recurs with a regularity of approximately 24 hours.","BP","circadian rhythm"
"GO:0010906","Any process that modulates the rate, frequency or extent of glucose metabolism. Glucose metabolic processes are the chemical reactions and pathways involving glucose, the aldohexose gluco-hexose.","BP","regulation of glucose metabolic process"
"GO:0015721","The directed movement of bile acid and bile salts into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","BP","bile acid and bile salt transport"
"GO:0016922","Interacting selectively and non-covalently, in a ligand dependent manner, with a nuclear receptor protein.","MF","nuclear receptor binding"
"GO:0017162","Interacting selectively and non-covalently with an aryl hydrocarbon receptor.","MF","aryl hydrocarbon receptor binding"
"GO:0019216","Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving lipids.","BP","regulation of lipid metabolic process"
"GO:0030375","The function of a transcription cofactor that activates transcription in conjunction with a thyroid hormone-dependent nuclear receptor from a RNA polymerase II promoter; does not bind DNA itself.","MF","thyroid hormone receptor coactivator activity"
"GO:0030522","Any series of molecular signals initiated by a ligand binding to an receptor located within a cell.","BP","intracellular receptor signaling pathway"
"GO:0032570","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a progesterone stimulus.","BP","response to progesterone"
"GO:0032870","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus.","BP","cellular response to hormone stimulus"
"GO:0032922","Any process that modulates the frequency, rate or extent of gene expression such that an expression pattern recurs with a regularity of approximately 24 hours.","BP","circadian regulation of gene expression"
"GO:0035257","Interacting selectively and non-covalently with a nuclear hormone receptor, a ligand-dependent receptor found in the nucleus of the cell.","MF","nuclear hormone receptor binding"
"GO:0045475","The rhythm of the locomotor activity of an organism during its 24 hour activity cycle.","BP","locomotor rhythm"
"GO:1904017",NA,"BP","cellular response to Thyroglobulin triiodothyronine"
"GO:0016210","Catalysis of the reaction: 3 malonyl-CoA + 4-coumaroyl-CoA = 4 CoA + naringenin chalcone + 3 CO2.","MF","naringenin-chalcone synthase activity"
"GO:0002931","Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a inadequate blood supply.","BP","response to ischemia"
"GO:0008865","Catalysis of the reaction: ATP + D-fructose = ADP + D-fructose 6-phosphate.","MF","fructokinase activity"
"GO:0019158","Catalysis of the reaction: ATP + D-mannose = ADP + D-mannose 6-phosphate.","MF","mannokinase activity"
"GO:0035795","Any process that decreases the frequency, rate or extent of the passage or uptake of molecules by the mitochondrial membrane.","BP","negative regulation of mitochondrial membrane permeability"
"GO:0046324","Any process that modulates the frequency, rate or extent of the import of the hexose monosaccharide glucose into a cell or organelle.","BP","regulation of glucose import"
"GO:0072655","The directed movement of a protein to the mitochondrion or a part of the mitochondrion.","BP","establishment of protein localization to mitochondrion"
"GO:0072656","Any process in which a protein is maintained in a specific location in a mitochondrion, and is prevented from moving elsewhere.","BP","maintenance of protein location in mitochondrion"
"GO:1904925",NA,"BP","positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization"
"GO:2000378",NA,"BP","negative regulation of reactive oxygen species metabolic process"
"GO:0010266","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a vitamin B1 stimulus.","BP","response to vitamin B1"
"GO:0080041","Catalysis of the reaction: ADP-ribose + H2O = AMP + ribose-1-phosphate.","MF","ADP-ribose pyrophosphohydrolase activity"
"GO:0010117","Protection mechanism used by plants under conditions of excess energy absorption as a consequence of the light reactions of photosynthesis.","BP","photoprotection"
"GO:0010960","Any process involved in the maintenance of an internal steady state of magnesium ions within an organism or cell.","BP","magnesium ion homeostasis"
"GO:0016442","A ribonucleoprotein complex that contains members of the Argonaute family of proteins, small interfering RNAs (siRNAs) or microRNAs (miRNAs), and miRNA or siRNA-complementary mRNAs, in addition to a number of accessory factors. The RISC complex is involved in posttranscriptional repression of gene expression through downregulation of translation or induction of mRNA degradation.","CC","RISC complex"
"GO:0004019","Catalysis of the reaction: L-aspartate + GTP + IMP = N(6)-(1,2-dicarboxyethyl)-AMP + GDP + 3 H(+) + phosphate.","MF","adenylosuccinate synthase activity"
"GO:0044208","The chemical reactions and pathways resulting in the formation of adenosine monophosphate (AMP) from inosine 5'-monophosphate (IMP).","BP","'de novo' AMP biosynthetic process"
"GO:0047070","Catalysis of the reaction: O2 + 3-(2,3-dihydroxyphenyl)propanoate = 2-hydroxy-6-oxonona-2,4-diene-1,9-dioate.","MF","3-carboxyethylcatechol 2,3-dioxygenase activity"
"GO:0004596","Catalysis of the reaction: acetyl-CoA + peptide = CoA + N-alpha-acetylpeptide. This reaction is the acetylation of the N-terminal amino acid residue of a peptide or protein.","MF","peptide alpha-N-acetyltransferase activity"
"GO:2000232",NA,"BP","regulation of rRNA processing"
"GO:0019184","The biosynthetic process in which peptide bond formation occurs in the absence of the translational machinery. Examples include the synthesis of antibiotic peptides, and glutathione.","BP","nonribosomal peptide biosynthetic process"
"GO:1900772",NA,"BP","fumitremorgin B biosynthetic process"
"GO:1900805",NA,"BP","brevianamide F biosynthetic process"
"GO:0009922","Catalysis of the reaction: fatty acid (C-16 or longer) + 2-C = fatty acid (C-16 or longer + 2-C).","MF","fatty acid elongase activity"
"GO:0019367","Elongation of a saturated fatty acid chain.","BP","fatty acid elongation, saturated fatty acid"
"GO:0034625","Elongation of a fatty acid chain into which one C-C double bond has been introduced.","BP","fatty acid elongation, monounsaturated fatty acid"
"GO:0034626","Elongation of a fatty acid chain into which two or more C-C double bonds have been introduced.","BP","fatty acid elongation, polyunsaturated fatty acid"
"GO:0042761","The chemical reactions and pathways resulting in the formation of a fatty acid which has a chain length greater than C22.","BP","very long-chain fatty acid biosynthetic process"
"GO:0102336","Catalysis of the reaction: stearoyl-CoA(4-) + malonyl-CoA(5-) + H+ <=> 3-oxoicosanoyl-CoA. + carbon dioxide + coenzyme A.","MF","3-oxo-arachidoyl-CoA synthase activity"
"GO:0102337","Catalysis of the reaction: tetracosanoyl-CoA(4-) + malonyl-CoA(5-) + H+ <=> 3-oxohexacosanoyl-CoA + carbon dioxide + coenzyme A.","MF","3-oxo-cerotoyl-CoA synthase activity"
"GO:0102338","Catalysis of the reaction: behenoyl-CoA(4-) + malonyl-CoA(5-) + H+ <=> 3-oxotetracosanoyl-CoA. + carbon dioxide + coenzyme A.","MF","3-oxo-lignoceronyl-CoA synthase activity"
"GO:0102756","Catalysis of the reaction: malonyl-CoA + a very-long-chain 2,3,4-saturated fatty acyl CoA = carbon dioxide + coenzyme A + a very-long-chain oxoacyl-CoA.","MF","very-long-chain 3-ketoacyl-CoA synthase activity"
"GO:0051304","The cell cycle process in which paired chromosomes are detached from each other. Chromosome separation begins with the release of cohesin complexes from chromosomes; in budding yeast, this includes the cleavage of cohesin complexes along the chromosome arms, followed by the separation of the centromeric regions. Chromosome separation also includes formation of chromatid axes mediated by condensins, and ends with the disentangling of inter-sister catenation catalyzed by topoisomerase II (topo II).","BP","chromosome separation"
"GO:0008426","Stops, prevents or reduces the activity of protein kinase C, an enzyme which phosphorylates a protein.","MF","protein kinase C inhibitor activity"
"GO:0071704","The chemical reactions and pathways involving an organic substance, any molecular entity containing carbon.","BP","organic substance metabolic process"
"GO:0009741","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a brassinosteroid stimulus.","BP","response to brassinosteroid"
"GO:0010359","Any process that modulates the frequency, rate or extent of anion channel activity.","BP","regulation of anion channel activity"
"GO:1901986",NA,"BP","response to ketamine"
"GO:0000242","A network of small fibers that surrounds the centrioles in cells; contains the microtubule nucleating activity of the centrosome.","CC","pericentriolar material"
"GO:0001669","A structure in the head of a spermatozoon that contains acid hydrolases, and is concerned with the breakdown of the outer membrane of the ovum during fertilization. It lies just beneath the plasma membrane and is derived from the lysosome.","CC","acrosomal vesicle"
"GO:0002199","A multisubunit complex comprising the chaperonin-containing T-complex and several other components involved in mediating sperm-oocyte Interaction.","CC","zona pellucida receptor complex"
"GO:0005720","A condensed form of chromatin, occurring in the nucleus during interphase, that stains strongly with basophilic dyes. The DNA of heterochromatin is typically replicated at a later stage in the cell-division cycle than euchromatin.","CC","nuclear heterochromatin"
"GO:0007339","The process in which the sperm binds to the zona pellucida glycoprotein layer of the egg. The process begins with the attachment of the sperm plasma membrane to the zona pellucida and includes attachment of the acrosome inner membrane to the zona pellucida after the acrosomal reaction takes place.","BP","binding of sperm to zona pellucida"
"GO:0032212","Any process that activates or increases the frequency, rate or extent of the addition of telomeric repeats by telomerase.","BP","positive regulation of telomere maintenance via telomerase"
"GO:0044053","The directed movement of peptides or proteins produced by a symbiont organism to a location within the host cell cytoplasm.","BP","translocation of peptides or proteins into host cell cytoplasm"
"GO:0051973","Any process that activates or increases the frequency, rate or extent of telomerase activity, the catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1).","BP","positive regulation of telomerase activity"
"GO:0090666","A process in which a small Cajal body-specific RNA is transported to, or maintained in, a Cajal body.","BP","scaRNA localization to Cajal body"
"GO:1904851",NA,"BP","positive regulation of establishment of protein localization to telomere"
"GO:1904874",NA,"BP","positive regulation of telomerase RNA localization to Cajal body"
"GO:2000109",NA,"BP","regulation of macrophage apoptotic process"
"GO:0008623","An ISWI complex that contains an ATPase subunit of the ISWI family (SNF2H in mammals, Isw2 in S. cerevisiae), an ACF1 homolog, and additional small histone fold subunits (generally two of these, but Xenopus has only one and some additional non-conserved subunits). CHRAC plays roles in the regulation of RNA polymerase II transcription and in DNA replication and repair.","CC","CHRAC"
"GO:0005149","Interacting selectively and non-covalently with the interleukin-1 receptor.","MF","interleukin-1 receptor binding"
"GO:0032755","Any process that activates or increases the frequency, rate, or extent of interleukin-6 production.","BP","positive regulation of interleukin-6 production"
"GO:0003979","Catalysis of the reaction: H(2)O + 2 NAD(+) + UDP-alpha-D-glucose = 3 H(+) + 2 NADH + UDP-alpha-D-glucuronate.","MF","UDP-glucose 6-dehydrogenase activity"
"GO:0010101","The process in which the anatomical structures of the post-embryonic root are generated and organized. The post-embryonic root is the root formed after the embryonic phase has been completed.","BP","post-embryonic root morphogenesis"
"GO:0032592","The component of the mitochondrial membrane consisting of the gene products having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.","CC","integral component of mitochondrial membrane"
"GO:1904960",NA,"BP","positive regulation of cytochrome-c oxidase activity"
